Textbox8,tbToday
Port Attributes Report,Report Generated: 4/28/2014

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

Port,Attribute,AttributeValue
CE02SHSP-SP001-06,longitude,124.31
CE02SHSP-SP001-06,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE02SHSP-SP001-06,Relative Depth,Sea surface to 2m above bottom
CE02SHSP-SP001-07,depth_port_max,78
CE02SHSP-SP001-07,depth_port_min,0
CE02SHSP-SP001-07,depth_subsite,80
CE02SHSP-SP001-07,First Deployment Date,2014-07
CE02SHSP-SP001-07,latitude,44.64
CE02SHSP-SP001-07,longitude,124.31
CE02SHSP-SP001-07,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE02SHSP-SP001-07,Relative Depth,Sea surface to 2m above bottom
CE02SHSP-SP001-08,depth_port_max,78
CE02SHSP-SP001-08,depth_port_min,0
CE02SHSP-SP001-08,depth_subsite,80
CE02SHSP-SP001-08,First Deployment Date,2014-07
CE02SHSP-SP001-08,latitude,44.64
CE02SHSP-SP001-08,longitude,124.31
CE02SHSP-SP001-08,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE02SHSP-SP001-08,Relative Depth,Sea surface to 2m above bottom
CE04OSBP-LJ01C-05,depth_port_max,498
CE04OSBP-LJ01C-05,depth_port_min,498
CE04OSBP-LJ01C-05,depth_subsite,588
CE04OSBP-LJ01C-05,First Deployment Date,2013-06-28
CE04OSBP-LJ01C-05,latitude,44.37
CE04OSBP-LJ01C-05,longitude,124.95
CE04OSBP-LJ01C-05,Platform Agent Type,Shore CyberPoP - Regional Observatory Management System
