Textbox8,tbToday
Class Attributes Report,Report Generated: 4/28/2014

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

Class,Class_Name,Attribute,AttributeValue
FLORT,Fluorometer three wavelength,CP Spares,
FLORT,Fluorometer three wavelength,Description,"3-Wavelength Fluorometer for measurement of fluorescence, Chl-a, CDOM, optical backscatter"
FLORT,Fluorometer three wavelength,ECRs that changed the count,
FLORT,Fluorometer three wavelength,Global Spares,
FLORT,Fluorometer three wavelength,Instrument Configuration,
FLORT,Fluorometer three wavelength,Link to the Specification,
FLORT,Fluorometer three wavelength,Notes,
FLORT,Fluorometer three wavelength,PrimaryScienceDiscipline,B
FLORT,Fluorometer three wavelength,Produces Acoustic Interference,
FLORT,Fluorometer three wavelength,Ready for 2013?,
FLORT,Fluorometer three wavelength,RSN O&M Spares,
FLORT,Fluorometer three wavelength,RSN Part Number,
FLORT,Fluorometer three wavelength,Susceptible to Acoustic Interference,
FLORT,Fluorometer three wavelength,"Vendor CLIN, SubCLIN or Model #",
HPIES,IES pressure velocity,2009 Baseline Price*,
HPIES,IES pressure velocity,2009 Deployed Instrument Count,2
HPIES,IES pressure velocity,Alternate Instrument Class Name,"Horizontal Electric Field, Pressure and Inverted Echo Sounder"
HPIES,IES pressure velocity,CE Spares,
HPIES,IES pressure velocity,CGSN MREFC Spares,
HPIES,IES pressure velocity,CGSN O&M Spares,
HPIES,IES pressure velocity,CGSN P/N,
HPIES,IES pressure velocity,ClassLongName,IES_pressure_velocity
HPIES,IES pressure velocity,Comments,
HPIES,IES pressure velocity,CP Spares,
HPIES,IES pressure velocity,Description,"Horizontal electric field, pressure, inverted echo sounder for: water column integration of velocity, acoustic travel time, pressure, water column structure"
HPIES,IES pressure velocity,ECRs that changed the count,
HPIES,IES pressure velocity,Global Spares,
HPIES,IES pressure velocity,Instrument Configuration,
HPIES,IES pressure velocity,Link to the Specification,
HPIES,IES pressure velocity,Notes,
HPIES,IES pressure velocity,PrimaryScienceDiscipline,P
HPIES,IES pressure velocity,Produces Acoustic Interference,
HPIES,IES pressure velocity,Ready for 2013?,
HPIES,IES pressure velocity,RSN O&M Spares,
HPIES,IES pressure velocity,RSN Part Number,
HPIES,IES pressure velocity,Susceptible to Acoustic Interference,
HPIES,IES pressure velocity,"Vendor CLIN, SubCLIN or Model #",
HYDBB,Hydrophone BB passive,2009 Baseline Price*,"$100,092.00"
HYDBB,Hydrophone BB passive,2009 Deployed Instrument Count,6
HYDBB,Hydrophone BB passive,Alternate Instrument Class Name,Broadband Acoustic Receiver (Hydrophone)
HYDBB,Hydrophone BB passive,CE Spares,
HYDBB,Hydrophone BB passive,CGSN MREFC Spares,
HYDBB,Hydrophone BB passive,CGSN O&M Spares,
HYDBB,Hydrophone BB passive,CGSN P/N,
HYDBB,Hydrophone BB passive,ClassLongName,Hydrophone_BB_passive
HYDBB,Hydrophone BB passive,Comments,
HYDBB,Hydrophone BB passive,CP Spares,
