Textbox8,tbToday
Family Attributes Report,Report Generated: 4/28/2014

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

Family,Family_Name,Attribute,AttributeValue
TMP,Seafloor Temperature,"Vendor CLIN, SubCLIN or Model #",
VEL,Water Velocity,2009 Baseline Price*,
VEL,Water Velocity,2009 Deployed Instrument Count,
VEL,Water Velocity,Alternate Instrument Class Name,
VEL,Water Velocity,CE Spares,
VEL,Water Velocity,CGSN MREFC Spares,
VEL,Water Velocity,CGSN O&M Spares,
VEL,Water Velocity,CGSN P/N,
VEL,Water Velocity,ClassLongName,
VEL,Water Velocity,Comments,
VEL,Water Velocity,CP Spares,
VEL,Water Velocity,Description,
VEL,Water Velocity,ECRs that changed the count,
VEL,Water Velocity,Global Spares,
VEL,Water Velocity,Instrument Configuration,
VEL,Water Velocity,Link to the Specification,
VEL,Water Velocity,Notes,
VEL,Water Velocity,PrimaryScienceDiscipline,
VEL,Water Velocity,Produces Acoustic Interference,
VEL,Water Velocity,Ready for 2013?,
VEL,Water Velocity,RSN O&M Spares,
VEL,Water Velocity,RSN Part Number,
VEL,Water Velocity,Susceptible to Acoustic Interference,
VEL,Water Velocity,"Vendor CLIN, SubCLIN or Model #",
WAV,Surface Wave Spectra,2009 Baseline Price*,
WAV,Surface Wave Spectra,2009 Deployed Instrument Count,
WAV,Surface Wave Spectra,Alternate Instrument Class Name,
WAV,Surface Wave Spectra,CE Spares,
WAV,Surface Wave Spectra,CGSN MREFC Spares,
WAV,Surface Wave Spectra,CGSN O&M Spares,
WAV,Surface Wave Spectra,CGSN P/N,
WAV,Surface Wave Spectra,ClassLongName,
WAV,Surface Wave Spectra,Comments,
WAV,Surface Wave Spectra,CP Spares,
WAV,Surface Wave Spectra,Description,
WAV,Surface Wave Spectra,ECRs that changed the count,
WAV,Surface Wave Spectra,Global Spares,
WAV,Surface Wave Spectra,Instrument Configuration,
WAV,Surface Wave Spectra,Link to the Specification,
WAV,Surface Wave Spectra,Notes,
WAV,Surface Wave Spectra,PrimaryScienceDiscipline,
WAV,Surface Wave Spectra,Produces Acoustic Interference,
WAV,Surface Wave Spectra,Ready for 2013?,
WAV,Surface Wave Spectra,RSN O&M Spares,
WAV,Surface Wave Spectra,RSN Part Number,
WAV,Surface Wave Spectra,Susceptible to Acoustic Interference,
WAV,Surface Wave Spectra,"Vendor CLIN, SubCLIN or Model #",
ZPL,Zooplankton Sonar,2009 Baseline Price*,
ZPL,Zooplankton Sonar,2009 Deployed Instrument Count,
ZPL,Zooplankton Sonar,Alternate Instrument Class Name,
ZPL,Zooplankton Sonar,CE Spares,
ZPL,Zooplankton Sonar,CGSN MREFC Spares,
ZPL,Zooplankton Sonar,CGSN O&M Spares,
ZPL,Zooplankton Sonar,CGSN P/N,
ZPL,Zooplankton Sonar,ClassLongName,
ZPL,Zooplankton Sonar,Comments,
ZPL,Zooplankton Sonar,CP Spares,
ZPL,Zooplankton Sonar,Description,
ZPL,Zooplankton Sonar,ECRs that changed the count,
ZPL,Zooplankton Sonar,Global Spares,
ZPL,Zooplankton Sonar,Instrument Configuration,
ZPL,Zooplankton Sonar,Link to the Specification,
ZPL,Zooplankton Sonar,Notes,
ZPL,Zooplankton Sonar,PrimaryScienceDiscipline,
ZPL,Zooplankton Sonar,Produces Acoustic Interference,
ZPL,Zooplankton Sonar,Ready for 2013?,
ZPL,Zooplankton Sonar,RSN O&M Spares,
ZPL,Zooplankton Sonar,RSN Part Number,
ZPL,Zooplankton Sonar,Susceptible to Acoustic Interference,
ZPL,Zooplankton Sonar,"Vendor CLIN, SubCLIN or Model #",

